Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/fabrics.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/fabrics.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/fabrics.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/fabrics.eda.nokia.com/v1alpha1/fabrics,GET,com.nokia.eda.fabrics.v1alpha1.FabricList,,false,false,false
/apps/fabrics.eda.nokia.com/v1alpha1/isls,GET,com.nokia.eda.fabrics.v1alpha1.ISLList,,false,false,false
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/fabrics,DELETE,com.nokia.eda.fabrics.v1alpha1.FabricList,,false,false,false
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/fabrics,GET,com.nokia.eda.fabrics.v1alpha1.FabricList,fabric_list,true,true,false
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/fabrics,POST,com.nokia.eda.fabrics.v1alpha1.Fabric,fabric,true,false,true
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/fabrics/_deleted,GET,com.nokia.eda.fabrics.v1alpha1.Fabric_DeletedResources,,false,false,false
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/fabrics/{name},DELETE,Status,fabric,true,false,true
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/fabrics/{name},GET,com.nokia.eda.fabrics.v1alpha1.Fabric,fabric,true,true,true
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/fabrics/{name},PATCH,Patch,,false,false,false
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/fabrics/{name},PUT,com.nokia.eda.fabrics.v1alpha1.Fabric,fabric,true,false,true
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/fabrics/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/fabrics/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/isls,DELETE,com.nokia.eda.fabrics.v1alpha1.ISLList,,false,false,false
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/isls,GET,com.nokia.eda.fabrics.v1alpha1.ISLList,isl_list,true,true,false
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/isls,POST,com.nokia.eda.fabrics.v1alpha1.ISL,isl,true,false,true
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/isls/_deleted,GET,com.nokia.eda.fabrics.v1alpha1.ISL_DeletedResources,,false,false,false
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/isls/{name},DELETE,Status,isl,true,false,true
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/isls/{name},GET,com.nokia.eda.fabrics.v1alpha1.ISL,isl,true,true,true
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/isls/{name},PATCH,Patch,,false,false,false
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/isls/{name},PUT,com.nokia.eda.fabrics.v1alpha1.ISL,isl,true,false,true
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/isls/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/isls/{name}/_topology,GET,ResourceTopology,,false,false,false
/workflows/v1/fabrics.eda.nokia.com/v1alpha1/islpings,GET,com.nokia.eda.fabrics.v1alpha1.IslPingList,,false,false,false
/workflows/v1/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/islpings,GET,com.nokia.eda.fabrics.v1alpha1.IslPingList,isl_ping_list,true,true,false
/workflows/v1/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/islpings,POST,com.nokia.eda.fabrics.v1alpha1.IslPing,,false,false,false
/workflows/v1/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/islpings/{name},DELETE,,,false,false,false
/workflows/v1/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/islpings/{name},GET,com.nokia.eda.fabrics.v1alpha1.IslPing,isl_ping,true,true,false
/workflows/v1/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/islpings/{name}/_artifacts,GET,,,false,false,false
/workflows/v1/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/islpings/{name}/_artifacts/{artifact},GET,,,false,false,false
/workflows/v1/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/islpings/{name}/_input,GET,WorkflowGetInputsRespElem,workflow_get_inputs_resp_elem,true,true,false
/workflows/v1/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/islpings/{name}/_input,PUT,WorkflowInputData,,false,false,false
/workflows/v1/fabrics.eda.nokia.com/v1alpha1/namespaces/{namespace}/islpings/{name}/_logs,GET,,,false,false,false
